ID;CLASE DE RIESGO;Nº de Expedientes;Indemnizaciones;%;Costes Medios
74 ;Viviendas y Comunidades de Viviendas; 44,823   ; 75,930,494   ; 36.8   ; 1,694   
74 ;Oficinas; 192   ; 1,394,160   ; 0.7   ; 7,261   
74 ;Comercios ; 3,320   ; 62,843,353   ; 30.5   ; 18,929   
74 ;Industriales; 2,249   ; 35,388,997   ; 17.1   ; 15,735   
74 ;Vehículos Automóviles; 2,919   ; 10,373,661   ; 5.0   ; 3,554   
74 ;Obras Civiles; 83   ; 20,305,447   ; 9.8   ; 244,644   
75 ;Daños personales; 1   ; 13,976   ; 0.0   ; 13,976   
75 ;Viviendas y Comunidades de Viviendas; 6,596   ; 20,068,515   ; 27.8   ; 3,043   
75 ;Oficinas; 87   ; 367,331   ; 0.5   ; 4,222   
75 ;Comercios ; 1,619   ; 18,220,565   ; 25.3   ; 11,254   
75 ;Industriales; 337   ; 21,438,469   ; 29.7   ; 63,616   
75 ;Vehículos Automóviles; 4,057   ; 11,931,510   ; 16.6   ; 2,941   
75 ;Obras Civiles; 1   ; 42,030   ; 0.1   ; 42,030   
