ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
terremoto; BURGOS; -   ; -   ; -   ;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   
terremoto; CÁCERES; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; CÁDIZ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ;2;11; -   ;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   
terremoto; CASTELLÓ/CASTELLÓN; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   
terremoto; CIUDAD REAL; -   ;1;3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;353;1;3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; CÓRDOBA; -   ; -   ;20; -   ; -   ; -   ; -   ; -   ; -   ;22;4; -   ; -   ;1; -   ;1; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; A CORUÑA;9;16;11;48;1;1; -   ; -   ; -   ; -   ;1; -   ;70; -   ; -   ; -   ; -   ;4; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   
terremoto; CUENCA; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2;11;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; GIRONA; -   ; -   ;13; -   ; -   ; -   ;1; -   ; -   ; -   ;67; -   ; -   ;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ; -   
terremoto; GRANADA;15;3;4;4;8;2; -   ; -   ; -   ;1; -   ; -   ; -   ;17; -   ;1; -   ;3;2; -   ; -   ; -   ;1; -   ; -   ;1;22
